n_trials,empirical_p_signal_given_trigger,analytic_p_signal_given_trigger
213027,0.1115702479338843,0.08676591469540598
223897,0.10843373493975904,0.08676591469540598
235321,0.11026615969581749,0.08676591469540598
247328,0.10714285714285714,0.08676591469540598
259948,0.10309278350515463,0.08676591469540598
273212,0.09803921568627451,0.08676591469540598
287153,0.09627329192546584,0.08676591469540598
301805,0.09365558912386707,0.08676591469540598
317205,0.09142857142857143,0.08676591469540598
333391,0.09090909090909091,0.08676591469540598
350402,0.08542713567839195,0.08676591469540598
368282,0.0861244019138756,0.08676591469540598
387073,0.08924485125858124,0.08676591469540598
406824,0.08971553610503283,0.08676591469540598
427582,0.08823529411764706,0.08676591469540598
449400,0.088,0.08676591469540598
472331,0.0872865275142315,0.08676591469540598
496432,0.08839779005524862,0.08676591469540598
521762,0.08665511265164645,0.08676591469540598
548386,0.08695652173913043,0.08676591469540598
576367,0.08493589743589744,0.08676591469540598
605777,0.08662613981762918,0.08676591469540598
636687,0.08608321377331421,0.08676591469540598
669174,0.08795669824086604,0.08676591469540598
703319,0.08611825192802057,0.08676591469540598
739206,0.08466257668711656,0.08676591469540598
776924,0.08073817762399077,0.08676591469540598
816567,0.0806979280261723,0.08676591469540598
858233,0.08158995815899582,0.08676591469540598
902024,0.08167330677290836,0.08676591469540598
948051,0.08090310442144873,0.08676591469540598
996425,0.08021390374331551,0.08676591469540598
1047268,0.08198121263877028,0.08676591469540598
1100706,0.08244897959183674,0.08676591469540598
1156870,0.08125,0.08676591469540598
1215899,0.08170914542728636,0.08676591469540598
1277941,0.08345221112696148,0.08676591469540598
1343149,0.08259385665529011,0.08676591469540598
1411683,0.08165910563836681,0.08676591469540598
1483715,0.08143121529919803,0.08676591469540598
1559422,0.08299240210403273,0.08676591469540598
1638993,0.08141493542953397,0.08676591469540598
1722623,0.08133971291866028,0.08676591469540598
1810520,0.08358509566968782,0.08676591469540598
1902903,0.08349146110056926,0.08676591469540598
2000000,0.08396946564885496,0.08676591469540598
